Date,Close,High,Low,Open,Volume
8/29/1985,1.242924333,1.242924333,1.240307839,1.242924333,945000
8/30/1985,1.245540261,1.245540261,1.237689979,1.242923321,2320200
9/3/1985,1.235074043,1.245540912,1.235074043,1.245540912,2071800
9/4/1985,1.224607229,1.240307442,1.224607229,1.235074008,1143000
9/5/1985,1.23245728,1.235074132,1.224607353,1.227223846,1411200
9/6/1985,1.23245728,1.240307567,1.23245728,1.235074132,4188600
9/9/1985,1.241843462,1.244480244,1.233933751,1.241843462,3429000
9/10/1985,1.236570597,1.255027259,1.233934176,1.247117183,5610600
9/11/1985,1.226024508,1.236570643,1.215478012,1.236570643,2896200
9/12/1985,1.220750332,1.220750332,1.210203843,1.218113551,3718800
9/13/1985,1.220750332,1.223386841,1.215477133,1.218113551,3574800
9/16/1985,1.228660941,1.231297814,1.21020473,1.220751227,2790000
9/17/1985,1.233934045,1.233934045,1.220751039,1.226024332,2944800
9/18/1985,1.233934045,1.236570465,1.226024332,1.236570465,8346600
9/19/1985,1.239207625,1.239207625,1.226024617,1.228661037,1771200
9/20/1985,1.244480014,1.255026595,1.241843233,1.244480014,8857800
9/23/1985,1.260299921,1.276119708,1.257663501,1.276119708,7761600
9/24/1985,1.244480014,1.262936305,1.244480014,1.262936305,2761200
9/25/1985,1.249753952,1.249753952,1.239207456,1.244480659,4845600
9/26/1985,1.252390146,1.252390146,1.239207232,1.244480434,3627000
9/30/1985,1.262936354,1.262936354,1.249753353,1.252389772,4051800
10/1/1985,1.286666632,1.286666632,1.265573546,1.265573546,4206600
10/2/1985,1.294576287,1.302486364,1.286666573,1.286666573,6278400
10/3/1985,1.268209934,1.291939433,1.268209934,1.291939433,3592800
10/4/1985,1.257663846,1.268210344,1.244480837,1.268210344,2989800
10/7/1985,1.260299921,1.268209996,1.249753788,1.260299921,3898800
10/8/1985,1.28139317,1.28139317,1.257663667,1.257663667,3211200
10/9/1985,1.286666632,1.302486423,1.281393338,1.281393338,6541200
10/10/1985,1.307760239,1.307760239,1.273484571,1.289304013,8712000
10/11/1985,1.342035174,1.344671957,1.302486244,1.307759085,11318400
10/14/1985,1.349944949,1.355217789,1.342034875,1.344671657,4347000
10/15/1985,1.328851819,1.349944896,1.326215399,1.347308024,4138200
10/16/1985,1.336761594,1.336761594,1.32357859,1.331488302,3114000
10/17/1985,1.328851819,1.336761531,1.323578527,1.336761531,5013000
10/18/1985,1.323578358,1.342034651,1.320941938,1.320941938,8164800
10/21/1985,1.323578358,1.32621523,1.320941938,1.320941938,5180400
10/22/1985,1.326215625,1.334125338,1.323578752,1.323578752,3789000
10/23/1985,1.33939898,1.33939898,1.328852482,1.328852482,2554200
10/24/1985,1.328851819,1.347308024,1.326215399,1.344671604,4699800
10/25/1985,1.320942044,1.326215336,1.318305263,1.326215336,4028400
10/28/1985,1.307760239,1.323580042,1.307760239,1.323580042,2786400
10/29/1985,1.31303215,1.315668932,1.307758858,1.307758858,1503000
10/30/1985,1.320942044,1.323578464,1.313031971,1.318305263,2197800
10/31/1985,1.326215625,1.347308253,1.315669039,1.326215625,2266200
11/1/1985,1.347308397,1.347308397,1.320942474,1.326215767,2676600
11/4/1985,1.357855201,1.365764916,1.339398897,1.342035409,3295800
11/5/1985,1.376309752,1.389492746,1.363126759,1.365763267,5050800
11/6/1985,1.378947139,1.389493722,1.3736743,1.378947139,4123800
11/7/1985,1.365764499,1.376310993,1.363127988,1.373674573,1584000
11/8/1985,1.365764499,1.368401281,1.363127988,1.368401281,2059200
11/11/1985,1.373674154,1.373674154,1.360490791,1.365764082,2635200
11/12/1985,1.394767523,1.400040817,1.373674891,1.376311311,5446800
11/13/1985,1.394767523,1.402677237,1.392131102,1.397404396,1542600
11/14/1985,1.423769593,1.429042884,1.39213039,1.397403681,3243600
11/15/1985,1.400040627,1.415860415,1.394767333,1.415860415,5335200
11/18/1985,1.405314088,1.407950508,1.39213108,1.400040794,3411000
11/19/1985,1.394767523,1.410587314,1.392131102,1.40531411,3538800
11/20/1985,1.397403836,1.405313548,1.397403836,1.402676675,1389600
11/21/1985,1.405314088,1.410587291,1.397404374,1.405314088,3672000
11/22/1985,1.397403836,1.410586749,1.397403836,1.407949967,2615400
11/25/1985,1.394767523,1.397404396,1.38949432,1.397404396,2610000
11/26/1985,1.415859938,1.421133229,1.392130444,1.394766863,2725200
11/27/1985,1.465955496,1.465955496,1.418496503,1.421133375,3963600
11/29/1985,1.442226529,1.465956034,1.436953326,1.465956034,1641600
12/2/1985,1.436952353,1.444862424,1.429042643,1.444862424,5562000
12/3/1985,1.442226529,1.444863402,1.436953326,1.436953326,3936600
12/4/1985,1.471229672,1.481776172,1.439590445,1.439590445,3834000
12/5/1985,1.481775522,1.494958528,1.47650232,1.47650232,4518000
12/6/1985,1.476502657,1.479139078,1.471229363,1.479139078,10879200
12/9/1985,1.507176042,1.512483071,1.472681125,1.507176042,4307400
12/10/1985,1.539018989,1.546979309,1.507176885,1.507176885,4631400
12/11/1985,1.554939151,1.56555303,1.528404453,1.539018514,4428000
12/12/1985,1.536364317,1.565552568,1.528404001,1.557592252,5299200
12/13/1985,1.581473827,1.589434145,1.536364573,1.536364573,3684600
12/16/1985,1.573513031,1.600047718,1.570859471,1.576166409,6719400
12/17/1985,1.554939151,1.573513713,1.523097422,1.573513713,5801400
12/18/1985,1.512483358,1.552285677,1.507176328,1.549632298,12207600
12/19/1985,1.475334406,1.491255403,1.470027468,1.475334406,13415400
12/20/1985,1.493908644,1.515136577,1.47533427,1.480641299,6411600
12/23/1985,1.485948443,1.50186944,1.485948443,1.496562411,3535200
12/24/1985,1.488602161,1.496562844,1.483295131,1.485948874,1191600
12/26/1985,1.491254926,1.493908303,1.483294248,1.483294248,986400
12/27/1985,1.512483358,1.512483358,1.491255692,1.491255692,2628000
12/30/1985,1.533711433,1.536364812,1.512483492,1.512483492,1976400
12/31/1985,1.544324875,1.544324875,1.531057257,1.533710817,1551600
1/2/1986,1.528404713,1.541671973,1.525751425,1.541671973,3727800
1/3/1986,1.536364317,1.539018059,1.525750714,1.531057379,2250000
1/6/1986,1.539018989,1.541672186,1.533711865,1.533711865,1893600
1/7/1986,1.554939151,1.56024609,1.539018514,1.541671711,2278800
1/8/1986,1.528404713,1.5629001,1.528404713,1.557592977,5070600
1/9/1986,1.496563077,1.512483717,1.485949105,1.496563077,8319600
1/10/1986,1.496563077,1.507176685,1.491256045,1.501870109,4024800
1/13/1986,1.483294964,1.491255646,1.480641676,1.491255646,5540400
1/14/1986,1.459413171,1.493908537,1.456759884,1.488601509,9507600
1/15/1986,1.459413171,1.464720199,1.451452856,1.462066913,3522600
1/16/1986,1.459413171,1.464720199,1.454106598,1.464720199,3013200
1/17/1986,1.483294964,1.483294964,1.456760359,1.462067389,6985800
1/20/1986,1.472680688,1.475333974,1.464720009,1.475333974,1971000
1/21/1986,1.454108119,1.472682419,1.451454374,1.470028766,4507200
1/22/1986,1.422265053,1.459413626,1.414304735,1.454107052,3992400
1/23/1986,1.414304972,1.422265291,1.401037622,1.411651228,6553800
1/24/1986,1.44879961,1.454106639,1.414304334,1.414304334,6487200
1/27/1986,1.485948443,1.491255382,1.459413388,1.459413388,6503400
1/28/1986,1.488602161,1.491255813,1.477988555,1.491255813,4694400
1/29/1986,1.491254926,1.512482581,1.483294248,1.491254926,6224400
1/30/1986,1.499215245,1.507175559,1.488601281,1.504522273,7250400
1/31/1986,1.507176042,1.512483071,1.488601757,1.496562438,4021200
2/3/1986,1.52575016,1.539017501,1.501868856,1.50982917,4017600
2/4/1986,1.549632549,1.560246247,1.525751318,1.544325609,5261400
2/5/1986,1.541671038,1.552285095,1.525750499,1.549631717,3670200
2/6/1986,1.496563077,1.507176685,1.470028101,1.475335041,30636000
2/7/1986,1.501868367,1.509828678,1.475333331,1.475333331,9592200
2/10/1986,1.491254926,1.507175553,1.485947989,1.49921524,5304600
2/11/1986,1.499215245,1.501868987,1.493908309,1.493908309,7893000
2/12/1986,1.483294964,1.504522994,1.480641676,1.504522994,4937400
2/13/1986,1.480641961,1.483295249,1.47533493,1.480641961,2820600
2/14/1986,1.501868367,1.501868367,1.475333331,1.480640356,6975000
2/18/1986,1.517790198,1.517790198,1.501869565,1.504522852,5020200
2/19/1986,1.501868367,1.525749663,1.501868367,1.509828678,6390000
2/20/1986,1.493908644,1.50452261,1.488601615,1.50452261,7759800
2/21/1986,1.55759263,1.55759263,1.512483372,1.512483372,14794200
2/24/1986,1.584127069,1.59208775,1.549632059,1.557592376,7866000
2/25/1986,1.592087984,1.592087984,1.573513605,1.586781045,3886200
2/26/1986,1.581473827,1.592087888,1.576166888,1.592087888,5058000
2/27/1986,1.623929977,1.623929977,1.573513952,1.581474271,8629200
2/28/1986,1.639849782,1.645156719,1.608007798,1.634542845,5007600
3/3/1986,1.647811532,1.655771853,1.637197467,1.639851211,5927400
3/4/1986,1.661077499,1.669038178,1.647810248,1.647810248,5076000
3/5/1986,1.650464058,1.658424739,1.634543425,1.655770996,4786200
3/6/1986,1.674344778,1.674344778,1.647810095,1.661077346,3405600
3/7/1986,1.69026649,1.698226807,1.666385174,1.671692113,5175000
3/10/1986,1.694428802,1.702434222,1.686423748,1.694428802,5549400
3/11/1986,1.710439801,1.713108092,1.702434745,1.705103036,4132800
3/12/1986,1.745128155,1.769143678,1.723780921,1.729117684,8706600
3/13/1986,1.750464916,1.753133206,1.739791391,1.745128154,6480000
3/14/1986,1.819842935,1.825179697,1.75313313,1.75580142,6584400
3/17/1986,1.785153747,1.790490509,1.771811932,1.782485457,5707800
3/18/1986,1.795827508,1.801164271,1.779817037,1.785153799,3587400
3/19/1986,1.790491104,1.809169871,1.790491104,1.801164816,3317400
3/20/1986,1.777149677,1.790491499,1.761139198,1.785154734,4255200
3/21/1986,1.723781347,1.77981746,1.723781347,1.771812406,6012000
3/24/1986,1.745128155,1.763806916,1.731785973,1.745128155,4320000
3/25/1986,1.737123251,1.755802017,1.73445496,1.750465436,4293000
3/26/1986,1.761137962,1.766474724,1.734454154,1.734454154,3582000
3/27/1986,1.790491104,1.819843583,1.761138809,1.766475573,6039000
3/31/1986,1.830516338,1.857200148,1.825179576,1.830516338,6930000
4/1/1986,1.787822843,1.833185243,1.750465313,1.830516953,5265000
4/2/1986,1.790491104,1.793159761,1.777149285,1.787822997,5988600
4/3/1986,1.795827508,1.846527028,1.793159218,1.830516557,5450400
4/4/1986,1.750464916,1.822511486,1.745128154,1.822511486,6048000
4/7/1986,1.745128155,1.761138259,1.718443975,1.739791392,5090400
4/8/1986,1.771812081,1.782485607,1.745128267,1.747796556,5419800
4/9/1986,1.779817104,1.795827576,1.763806999,1.793159286,6453000
4/10/1986,1.790491104,1.793159761,1.761138809,1.782486049,2205000
4/11/1986,1.795827508,1.798495981,1.774480457,1.793159218,5974200
4/14/1986,1.854532242,1.859869188,1.798496137,1.80916948,8625600
4/15/1986,1.867874265,1.867874265,1.835853686,1.843858739,8577000
4/16/1986,1.934584141,1.942589561,1.89189003,1.905231848,5832000
4/17/1986,1.974609852,1.974609852,1.934583854,1.942589273,5425200
4/18/1986,1.971941948,1.97994737,1.961268602,1.974610422,3267000
4/21/1986,2.009298325,2.019971663,1.969272342,1.979946047,4631400
4/22/1986,2.022640944,2.033314653,2.009299127,2.01463589,5076000
4/23/1986,2.022640944,2.022640944,1.993288654,2.001293708,3893400
4/24/1986,1.987952352,2.02797836,1.985284061,2.022641412,4177800
4/25/1986,1.947926521,1.974610529,1.918574406,1.974610529,6341400
4/28/1986,1.953262568,1.963936277,1.942589225,1.950594278,4527000
4/29/1986,1.939920306,1.961267536,1.934583361,1.958598881,3801600
4/30/1986,1.883885384,1.974610572,1.878548435,1.942589982,7923600
5/1/1986,1.897227168,1.897227168,1.843859336,1.851864391,9901800
5/2/1986,1.899895072,1.91857402,1.883884964,1.883884964,4660200
5/5/1986,1.915905833,1.921242598,1.894558775,1.907900778,3643200
5/6/1986,1.897227168,1.918574411,1.88121669,1.915905937,2968200
5/7/1986,1.873211145,1.897226673,1.782485799,1.894558383,7732800
5/8/1986,1.873211145,1.886552963,1.873211145,1.878547909,3994200
5/9/1986,1.889222145,1.889222145,1.862537954,1.875879958,2755800
5/12/1986,1.894558668,1.899895249,1.889221904,1.891890194,2394000
5/13/1986,1.894558668,1.899895249,1.883885139,1.894558668,3180600
5/14/1986,1.905231833,1.905231833,1.886553068,1.894558489,3085200
5/15/1986,1.875878572,1.899894089,1.859868472,1.899894089,4716000
5/16/1986,1.843859076,1.875879662,1.841190786,1.875879662,2037600
5/19/1986,1.867874265,1.867874265,1.841190449,1.843858739,5938200
5/20/1986,1.897227168,1.905232224,1.859869814,1.870543343,4032000
5/21/1986,1.894558668,1.902563723,1.891890194,1.897226959,2599200
5/22/1986,1.971941948,1.99595748,1.891890295,1.894558769,7129800
5/23/1986,1.974609852,1.979946798,1.953262616,1.974609852,5095800
5/27/1986,2.035983324,2.038651798,1.971941787,1.971941787,5472000
5/28/1986,2.097356319,2.097356319,2.046656965,2.049325256,8917200
5/29/1986,2.257460117,2.265465173,2.105361863,2.257460117,11574000
5/30/1986,2.169403791,2.241450416,2.137383192,2.241450416,10992000
6/2/1986,2.153393745,2.177409288,2.129378203,2.169403863,3530400
6/3/1986,2.169403791,2.169403791,2.097357167,2.121372708,5652600
6/4/1986,2.169403791,2.201424758,2.14538825,2.185414275,5290200
6/5/1986,2.225439548,2.225439548,2.153392948,2.177408482,3787800
6/6/1986,2.233443737,2.257459261,2.20142316,2.233443737,4648800
6/9/1986,2.131148815,2.211569775,2.107022601,2.131148815,4573200
6/10/1986,2.147232771,2.179400929,2.107022297,2.139190823,3930000
6/11/1986,2.163318872,2.187445104,2.131150318,2.147234595,3872400
6/12/1986,2.155274868,2.179401081,2.131148655,2.179401081,2945400
6/13/1986,2.187444448,2.1954864,2.147233952,2.155275904,2926200
6/16/1986,2.203526974,2.211569289,2.163316871,2.18744308,3439200
6/17/1986,2.155274868,2.211569609,2.14723292,2.211569609,3717600
6/18/1986,2.147232771,2.155274719,2.115064612,2.147232771,4174800
6/19/1986,2.123107433,2.155275605,2.123107433,2.123107433,2199600
6/20/1986,2.139190912,2.155274808,2.1150647,2.131148596,3966000
6/23/1986,2.107023001,2.155275439,2.107023001,2.123107269,4495800
6/24/1986,2.187444448,2.211570673,2.13114968,2.139192,8364000
6/25/1986,2.22765398,2.251780198,2.179401545,2.203527763,5924400
6/26/1986,2.203526974,2.251779392,2.18744308,2.243737445,7668000
6/27/1986,2.171359062,2.211569538,2.131148586,2.203527222,5156400
6/30/1986,2.171359062,2.227653434,2.171359062,2.17940101,6600000
7/1/1986,2.235696793,2.243738744,2.171360075,2.171360075,6300000
7/2/1986,2.259822369,2.291990534,2.219611886,2.243738102,8400000
7/3/1986,2.25178051,2.28394905,2.243738559,2.275906731,4793400
7/7/1986,2.123107433,2.259822807,2.115065482,2.259822807,5152800
7/8/1986,2.026601791,2.23569575,1.978349368,2.098980427,7680000
